Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C_Small,C_0805_2012Metric,101.0,-54.0,-90.0,top
D1,1N5819WS,D_SOD-323,111.0,-64.5,-90.0,top
D2,1N5819WS,D_SOD-323,111.0,-69.0,-90.0,top
D3,1N5819WS,D_SOD-323,111.0,-73.5,-90.0,top
D4,1N5819WS,D_SOD-323,88.45,-76.5,180.0,top
D5,1N5819WS,D_SOD-323,100.45,-60.5,0.0,top
IC1,"74HC14D,653",SOIC127P600X175-14N,107.46,-54.275,0.0,top
J1,Conn_02x08_Counter_Clockwise,PinHeader_2x08_P2.54mm_Vertical,93.39,-81.27,270.0,bottom
J2,RJ12,RJ25_Wayconn_MJEA-660X1_Horizontal,117.5,-67.0,180.0,top
J3,RJ12,RJ25_Wayconn_MJEA-660X1_Horizontal,86.5,-67.0,0.0,top
Q1,MMBT3904,SOT-23,94.4375,-64.05,180.0,top
Q2,MMBT5401,SOT-23,94.4375,-69.05,180.0,top
Q3,TBC847_E_20160525,SOT-23-3,87.3625,-52.55,180.0,top
R1,2k2,R_0805_2012Metric,102.0,-76.5,180.0,top
R2,1k,R_0805_2012Metric,110.0875,-60.5,0.0,top
R3,1k,R_0805_2012Metric,93.5,-74.0,-90.0,top
R4,2k2,R_0805_2012Metric,97.5875,-75.0,0.0,top
R5,680,R_0805_2012Metric,115.5,-53.0,-90.0,top
R6,10k,R_0805_2012Metric,110.5,-77.5,180.0,top
SW1,KF1001-03P-R0-GL-DFT-01B,DIP-6_W7.62mm_Socket,103.01,-66.99,90.0,top
U1,EL357N-G,SOP-4_3.8x4.1mm_P2.54mm,94.0,-55.5,180.0,top
